Address,Name Tag
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance
0xf977814e90da44bfa03b6295a0616a897441acec,Binance
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Binance
0x28c6c06298d514db089934071355e5743bf21d60,Binance
0x06a0048079ec6571cd1b537418869cde6191d42d,Binance
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance
0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance
0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance
0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance
0x8b99f3660622e21f2910ecca7fbe51d654a1517d,Binance
0xb8c77482e45f1f44de1745f52c74426c631bdd52,Binance
0x564286362092d8e7936f0549571a803b203aaced,Binance
0x8894e0a0c962cb723c1976a4421c95949be2d4e3,Binance
0x708396f17127c42383e3b9014072679b2f60b82f,Binance
0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance
0x001866ae5b3de6caa5a51543fd9fb64f524f5478,Binance
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance
0xa344c7ada83113b3b56941f6e85bf2eb425949f3,Binance
0x8f12f14a09d80051de4315808df57af19d80cad4,Binance
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance
0x0a367f918340d47d36b21c93e9a2b6853cc9d6f0,Binance
0x328366da5a4c5f669172a716955e3adf93a26705,Binance
0x6aa8f871908f0a2a9aefb4786b344707cb5d7e26,Binance
0xc3c8e0a39769e2308869f7461364ca48155d1d9e,Binance
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex
0x5a710a3cdf2af218740384c52a10852d8870626a,Bitfinex
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex
0x28140cb1ac771d4add91ee23788e50249c10263d,Bitfinex
0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex
0x1b8766d041567eed306940c587e21c06ab968663,Bitfinex
0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,Bitfinex
0x53b36141490c419fa27ecabfeb8be1ecadc82431,Bitfinex
0x0cd76cd43992c665fdc2d8ac91b935ca3165e782,Bitfinex
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,Bitfinex
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex
0x5754284f345afc66a98fbb0a0afe71e0f007b949,Bitfinex
0x87a32492da96069115a12e27ff5e378f03a8edf7,Bitfinex
